N  p(0.5)  p(1.0)  p(1.5)  p(2.0)  p(2.5)  p(3.0)
0 0.60653 0.36788 0.22313 0.13534 0.08208 0.04979
1 0.30327 0.36788 0.33470 0.27067 0.20521 0.14936
2 0.07582 0.18394 0.25102 0.27067 0.25652 0.22404
3 0.01264 0.06131 0.12551 0.18045 0.21376 0.22404
4 0.00158 0.01533 0.04707 0.09022 0.13360 0.16803
5 0.00016 0.00307 0.01412 0.03609 0.06680 0.10082
6 0.00001 0.00051 0.00353 0.01203 0.02783 0.05041
7 0.00000 0.00007 0.00076 0.00344 0.00994 0.02160
8 0.00000 0.00001 0.00014 0.00086 0.00311 0.00810
9 0.00000 0.00000 0.00002 0.00019 0.00086 0.00270
