E[MeV]  W[MeV]  pc[MeV]  v/c
 0.000   0.511   0.000  0.0000
 0.010   0.521   0.102  0.1950
 0.020   0.531   0.144  0.2719
 0.030   0.541   0.178  0.3284
 0.040   0.551   0.206  0.3741
 0.050   0.561   0.232  0.4127
 0.060   0.571   0.255  0.4462
 0.070   0.581   0.276  0.4759
 0.080   0.591   0.297  0.5024
 0.090   0.601   0.316  0.5264
 0.100   0.611   0.335  0.5482
 0.110   0.621   0.353  0.5682
 0.120   0.631   0.370  0.5867
 0.130   0.641   0.387  0.6037
 0.140   0.651   0.403  0.6196
 0.150   0.661   0.419  0.6343
 0.160   0.671   0.435  0.6481
 0.170   0.681   0.450  0.6610
 0.180   0.691   0.465  0.6731
 0.190   0.701   0.480  0.6846
 0.200   0.711   0.494  0.6953
 0.210   0.721   0.509  0.7055
 0.220   0.731   0.523  0.7151
 0.230   0.741   0.537  0.7242
 0.240   0.751   0.550  0.7328
 0.250   0.761   0.564  0.7410
 0.260   0.771   0.577  0.7488
 0.270   0.781   0.591  0.7562
 0.280   0.791   0.604  0.7633
 0.290   0.801   0.617  0.7701
 0.300   0.811   0.630  0.7765
 0.310   0.821   0.643  0.7827
 0.320   0.831   0.655  0.7886
 0.330   0.841   0.668  0.7942
 0.340   0.851   0.680  0.7996
 0.350   0.861   0.693  0.8048
 0.360   0.871   0.705  0.8098
 0.370   0.881   0.718  0.8146
 0.380   0.891   0.730  0.8192
 0.390   0.901   0.742  0.8236
 0.400   0.911   0.754  0.8279
 0.410   0.921   0.766  0.8320
 0.420   0.931   0.778  0.8359
 0.430   0.941   0.790  0.8397
 0.440   0.951   0.802  0.8434
 0.450   0.961   0.814  0.8469
 0.460   0.971   0.826  0.8503
 0.470   0.981   0.837  0.8536
 0.480   0.991   0.849  0.8568
 0.490   1.001   0.861  0.8599
 0.500   1.011   0.872  0.8629
 0.510   1.021   0.884  0.8657
 0.520   1.031   0.895  0.8685
 0.530   1.041   0.907  0.8712
 0.540   1.051   0.918  0.8738
 0.550   1.061   0.930  0.8764
 0.560   1.071   0.941  0.8788
 0.570   1.081   0.953  0.8812
 0.580   1.091   0.964  0.8835
 0.590   1.101   0.975  0.8858
 0.600   1.111   0.987  0.8879
 0.610   1.121   0.998  0.8901
 0.620   1.131   1.009  0.8921
 0.630   1.141   1.020  0.8941
 0.640   1.151   1.031  0.8960
 0.650   1.161   1.042  0.8979
 0.660   1.171   1.054  0.8998
 0.670   1.181   1.065  0.9015
 0.680   1.191   1.076  0.9033
 0.690   1.201   1.087  0.9050
 0.700   1.211   1.098  0.9066
 0.710   1.221   1.109  0.9082
 0.720   1.231   1.120  0.9098
 0.730   1.241   1.131  0.9113
 0.740   1.251   1.142  0.9128
 0.750   1.261   1.153  0.9142
 0.760   1.271   1.164  0.9156
 0.770   1.281   1.175  0.9170
 0.780   1.291   1.186  0.9183
 0.790   1.301   1.196  0.9196
 0.800   1.311   1.207  0.9209
 0.810   1.321   1.218  0.9222
 0.820   1.331   1.229  0.9234
 0.830   1.341   1.240  0.9246
 0.840   1.351   1.251  0.9257
 0.850   1.361   1.261  0.9268
 0.860   1.371   1.272  0.9279
 0.870   1.381   1.283  0.9290
 0.880   1.391   1.294  0.9301
 0.890   1.401   1.304  0.9311
 0.900   1.411   1.315  0.9321
 0.910   1.421   1.326  0.9331
 0.920   1.431   1.337  0.9341
 0.930   1.441   1.347  0.9350
 0.940   1.451   1.358  0.9359
 0.950   1.461   1.369  0.9368
 0.960   1.471   1.379  0.9377
 0.970   1.481   1.390  0.9386
 0.980   1.491   1.401  0.9394
 0.990   1.501   1.411  0.9403
 1.000   1.511   1.422  0.9411
 1.010   1.521   1.433  0.9419
 1.020   1.531   1.443  0.9427
 1.030   1.541   1.454  0.9434
 1.040   1.551   1.464  0.9442
 1.050   1.561   1.475  0.9449
 1.060   1.571   1.486  0.9456
 1.070   1.581   1.496  0.9463
 1.080   1.591   1.507  0.9470
 1.090   1.601   1.517  0.9477
 1.100   1.611   1.528  0.9484
 1.110   1.621   1.538  0.9490
 1.120   1.631   1.549  0.9497
 1.130   1.641   1.559  0.9503
 1.140   1.651   1.570  0.9509
 1.150   1.661   1.580  0.9515
 1.160   1.671   1.591  0.9521
 1.170   1.681   1.601  0.9527
 1.180   1.691   1.612  0.9532
 1.190   1.701   1.622  0.9538
 1.200   1.711   1.633  0.9544
 1.210   1.721   1.643  0.9549
 1.220   1.731   1.654  0.9554
 1.230   1.741   1.664  0.9560
 1.240   1.751   1.675  0.9565
 1.250   1.761   1.685  0.9570
 1.260   1.771   1.696  0.9575
 1.270   1.781   1.706  0.9580
 1.280   1.791   1.717  0.9584
 1.290   1.801   1.727  0.9589
 1.300   1.811   1.737  0.9594
 1.310   1.821   1.748  0.9598
 1.320   1.831   1.758  0.9603
 1.330   1.841   1.769  0.9607
 1.340   1.851   1.779  0.9611
