 0.00000  0.00000
 -2.48120   0.30894   1
 -0.78074  -0.04866   2
 -1.01383   0.74625   3
  0.86152   2.60633   4
  1.82453   4.70365   5
  2.03730   2.71342   6
  4.02861   1.49890   7
  4.97620   4.03824   8
  1.93506   3.83149   9
  4.54689   3.46372  10
  7.45348   0.43735  11
  7.32403   2.82456  12
  5.09422   3.72807  13
  4.70202   0.97606  14
  3.29308   0.91444  15
  4.55565   2.59738  16
  2.53291   1.11430  17
  1.94764   2.22910  18
  0.76207   4.94491  19
 -2.61702   6.04521  20
 -5.39028   7.09952  21
 -4.88972   3.85945  22
 -7.10190   2.40847  23
 -4.03016  -2.13394  24
 -3.04845  -2.11540  25
 -2.71129  -1.38518  26
 -1.79752  -2.74703  27
 -1.67743  -3.27941  28
 -2.40578  -5.53489  29
 -2.25548  -3.19289  30
 -0.71927  -3.30253  31
 -0.31931  -5.81476  32
 -0.87687  -4.66559  33
 -3.20721  -5.23444  34
 -5.51675  -4.56458  35
 -7.09251  -5.29466  36
 -8.18614  -7.81319  37
 -8.30732  -7.71012  38
-11.45405  -5.16226  39
-12.11936  -5.45175  40
-12.22721  -5.37936  41
-12.46195  -8.89665  42
-11.76913  -8.84402  43
-12.11713  -8.24355  44
-13.92225 -12.15856  45
-14.85187 -13.69403  46
-15.03323 -15.27457  47
-15.00745 -18.89927  48
-15.08138 -16.63498  49
-14.04190 -15.17244  50
-11.51019 -13.83177  51
-11.52566 -13.96674  52
 -9.26203 -13.27935  53
 -8.09027 -11.11908  54
 -6.51588 -10.40348  55
 -9.83022  -8.35929  56
-13.62831  -7.84587  57
-13.65797  -7.58509  58
-12.77751  -7.18443  59
-13.11203  -7.40257  60
-11.81042  -5.66906  61
-10.11818  -5.43238  62
 -9.79307  -7.47314  63
-12.20385  -7.88148  64
-13.76398  -8.96062  65
-10.66559  -7.88054  66
-10.19068  -9.46873  67
-11.18966  -6.08701  68
-12.62942  -9.10634  69
 -8.42580 -13.05370  70
 -9.08793 -13.06787  71
-10.01405 -10.86314  72
-10.59137 -11.96295  73
 -7.56472 -11.52740  74
 -4.45133  -9.66158  75
 -4.09155  -7.65370  76
 -1.73802  -8.15500  77
 -1.39789  -2.87548  78
  1.54440  -0.93215  79
  1.08394   0.45076  80
  0.07949   1.62825  81
  0.50012   2.78308  82
  2.15689   3.34998  83
  2.32980   4.66608  84
  2.38772   2.33598  85
  2.18631   0.23722  86
 -1.28324   0.52938  87
  0.16533   1.46761  88
 -1.76847   3.25892  89
  0.23991   3.63700  90
  0.26827   3.26873  91
  1.20235   2.54336  92
  3.31473   1.73248  93
  7.65299   3.94666  94
 10.20992   4.75194  95
  9.53583   3.74711  96
 10.14067   3.83987  97
 10.72108   5.39779  98
  7.93509   6.88730  99
  7.13453   5.05155 100
  9.15290   2.11522 101
  6.93382   2.94243 102
  7.47265   1.51059 103
  7.23160  -2.49865 104
  6.87578  -3.75327 105
  7.86554  -5.29378 106
  9.12760  -5.41182 107
  8.71523  -4.83362 108
 11.05510  -3.22023 109
 11.06594  -4.55851 110
 10.12168  -2.57979 111
  9.51927  -3.90527 112
 10.79872  -2.18000 113
 10.95066   0.98042 114
 10.23401   2.84368 115
 11.01383   4.26593 116
 13.71716   0.73652 117
 12.69196  -0.31187 118
 12.44171  -1.56444 119
 13.39594  -3.45599 120
 14.06429  -1.13501 121
 13.10929   0.91584 122
 10.56051   0.71596 123
  8.08015   0.63064 124
  9.87788  -0.78926 125
  8.55996   0.45399 126
  7.88541  -1.64878 127
 11.08918   0.01828 128
  9.12028  -2.84811 129
 11.82974  -3.01468 130
 12.83125  -1.64296 131
 15.44451  -0.05673 132
 14.81902  -3.85750 133
 14.02349  -4.46195 134
 13.57340  -6.69838 135
 14.55703  -5.66102 136
 15.20744  -3.58430 137
 13.45579  -4.06102 138
 15.68835  -2.49123 139
 12.61767  -4.21106 140
 14.86533  -1.31324 141
 13.54156   2.26663 142
 16.79431  -1.73896 143
 19.98800  -3.52009 144
 20.85951  -5.14371 145
 17.68668  -6.69567 146
 18.19189  -9.99716 147
 19.59087  -7.84491 148
 17.88451  -6.28670 149
 19.17865  -6.00660 150
 21.50469  -8.45642 151
 22.30105 -10.93281 152
 22.40316 -10.36164 153
 24.07714 -10.11379 154
 24.31994 -13.73921 155
 25.33583 -12.06846 156
 25.78723 -13.69327 157
 27.10471 -11.40062 158
 26.82910 -12.69678 159
 31.64565 -11.12072 160
 30.45805  -8.60855 161
 30.53735  -7.73319 162
 31.46852  -8.20600 163
 32.30473  -8.58957 164
 35.02714  -9.73348 165
 36.09517  -7.00709 166
 35.56004  -7.96624 167
 35.90170  -8.65298 168
 38.43682  -9.29003 169
 37.83297  -8.69435 170
 36.95162  -8.29629 171
 32.93021  -5.21375 172
 31.10086  -5.39300 173
 28.03092  -6.39029 174
 26.65799  -6.93116 175
 25.17957  -6.94644 176
 25.04507  -7.34687 177
 24.08513  -7.36040 178
 28.50122  -6.81902 179
 32.12539  -5.34418 180
 35.04796  -7.94269 181
 36.39831  -9.08720 182
 37.75140 -10.91804 183
 38.32014  -9.76560 184
 40.78135 -10.75497 185
 41.27040  -8.81713 186
 40.76724  -9.99328 187
 39.78385  -9.48167 188
 39.95099 -10.43854 189
 38.78918  -8.10741 190
 37.63669  -7.41355 191
 39.39470  -6.72260 192
 38.43720  -6.02542 193
 41.72087  -8.37296 194
 43.81758  -6.94830 195
 41.27965  -6.72471 196
 41.43547  -5.22171 197
 41.40081  -7.43321 198
 42.77824  -5.56450 199
 40.20506  -2.77727 200
