   V   p(1.000)   p(1.067)   p(1.133)   p(1.200)   p(1.267)   p(1.333)   p(1.400)   p(1.467)   p(1.533)   p(1.600)   p(1.667)
0.10  10.000000  11.659144  13.593564  15.848932  18.478498  21.544347  25.118864  29.286446  34.145489  39.810717  46.415888
0.11   9.090909  10.532088  12.201736  14.136073  16.377060  18.973309  21.981141  25.465804  29.502889  34.179972  39.598511
0.12   8.333333   9.598573  11.055912  12.734518  14.667984  16.895006  19.460153  22.414764  25.817970  29.737880  34.252945
0.13   7.692308   8.813067  10.097120  11.568258  13.253739  15.184793  17.397198  19.931948  22.836008  26.163186  29.975130
0.14   7.142857   8.143231   9.283710  10.583915  12.066218  13.756120  15.682697  17.879096  20.383105  23.237807  26.492317
0.15   6.666667   7.565471   8.585453   9.742950  11.056502  12.547147  14.238762  16.158442  18.336935  20.809133  23.614635
0.16   6.250000   7.062178   7.979898   9.016874  10.188604  11.512598  13.008644  14.699098  16.609225  18.767569  21.206388
0.17   5.882353   6.619947   7.450028   8.384194   9.435495  10.618621  11.950099  13.448533  15.134857  17.032631  19.168368
0.18   5.555556   6.228393   6.982718   7.828400   8.776503   9.839431  11.031092  12.367075  13.864860  15.544043  17.426593
0.19   5.263158   5.879352   6.567689   7.336614   8.195563   9.155074  10.226922  11.424259  12.761777  14.255887  15.924923
0.20   5.000000   5.566318   6.196779   6.898648   7.680014   8.549880   9.518270  10.596343  11.796523  13.132639  14.620089
0.21   4.761905   5.284040   5.863426   6.506341   7.219751   8.011385   8.889820   9.864575  10.946209  12.146443  13.478281
0.22   4.545455   5.028238   5.562299   6.153083   6.806616   7.529563   8.329295   9.213969  10.192606  11.275186  12.472749
0.23   4.347826   4.795387   5.289019   5.833465   6.433956   7.096261   7.826742   8.632419   9.521031  10.501116  11.582090
0.24   4.166667   4.582558   5.039962   5.543021   6.096292   6.704787   7.374019   8.110050   8.919546   9.809842  10.789002
0.25   4.000000   4.387300   4.812100   5.278032   5.789077   6.349604   6.964405   7.638733   8.378353   9.189587  10.079368
0.26   3.846154   4.207542   4.602886   5.035377   5.508505   6.026089   6.592305   7.211724   7.889344   8.630633   9.441574
0.27   3.703704   4.041525   4.410161   4.812420   5.251369   5.730357   6.253033   6.823384   7.445758   8.124899   8.865986
