   1.836 -5.047   2.801 -5.306   3.767 -5.565   4.733 -5.823   5.699 -6.082   6.665 -6.341   7.631 -6.600   8.597 -6.859
   1.842 -5.022   2.808 -5.280   3.775 -5.537   4.741 -5.795   5.707 -6.053   6.673 -6.310   7.640 -6.568   8.606 -6.825
   1.849 -4.998   2.815 -5.254   3.782 -5.510   4.749 -5.767   5.715 -6.023   6.682 -6.279   7.648 -6.535   8.615 -6.792
   1.855 -4.973   2.822 -5.228   3.789 -5.483   4.756 -5.738   5.723 -5.993   6.690 -6.248   7.657 -6.503   8.624 -6.758
   1.862 -4.948   2.829 -5.202   3.796 -5.456   4.764 -5.710   5.731 -5.963   6.698 -6.217   7.665 -6.471   8.633 -6.725
   1.868 -4.924   2.836 -5.176   3.803 -5.429   4.771 -5.681   5.739 -5.934   6.706 -6.186   7.674 -6.439   8.641 -6.691
   1.875 -4.899   2.843 -5.150   3.810 -5.401   4.778 -5.653   5.746 -5.904   6.714 -6.155   7.682 -6.406   8.650 -6.657
   1.881 -4.874   2.849 -5.124   3.818 -5.374   4.786 -5.624   5.754 -5.874   6.722 -6.124   7.691 -6.374   8.659 -6.624
   1.887 -4.849   2.856 -5.098   3.825 -5.347   4.793 -5.596   5.762 -5.844   6.730 -6.093   7.699 -6.342   8.667 -6.590
   1.894 -4.825   2.863 -5.072   3.832 -5.320   4.800 -5.567   5.769 -5.814   6.738 -6.062   7.707 -6.309   8.676 -6.557
   1.900 -4.800   2.869 -5.046   3.838 -5.292   4.808 -5.538   5.777 -5.785   6.746 -6.031   7.715 -6.277   8.685 -6.523
   1.906 -4.775   2.876 -5.020   3.845 -5.265   4.815 -5.510   5.784 -5.755   6.754 -6.000   7.724 -6.245   8.693 -6.489
   1.913 -4.750   2.882 -4.994   3.852 -5.238   4.822 -5.481   5.792 -5.725   6.762 -5.969   7.732 -6.212   8.702 -6.456
   1.919 -4.726   2.889 -4.968   3.859 -5.210   4.829 -5.453   5.799 -5.695   6.770 -5.937   7.740 -6.180   8.710 -6.422
   1.925 -4.701   2.895 -4.942   3.866 -5.183   4.836 -5.424   5.807 -5.665   6.777 -5.906   7.748 -6.147   8.718 -6.388
   1.931 -4.676   2.902 -4.916   3.873 -5.156   4.843 -5.396   5.814 -5.635   6.785 -5.875   7.756 -6.115   8.727 -6.355
   1.937 -4.651   2.908 -4.890   3.879 -5.128   4.851 -5.367   5.822 -5.606   6.793 -5.844   7.764 -6.083   8.735 -6.321
   1.943 -4.627   2.915 -4.864   3.886 -5.101   4.858 -5.338   5.829 -5.576   6.800 -5.813   7.772 -6.050   8.743 -6.287
   1.949 -4.602   2.921 -4.838   3.893 -5.074   4.864 -5.310   5.836 -5.546   6.808 -5.782   7.780 -6.018   8.752 -6.254
   1.955 -4.577   2.927 -4.812   3.899 -5.046   4.871 -5.281   5.843 -5.516   6.816 -5.751   7.788 -5.985   8.760 -6.220
   1.961 -4.552   2.934 -4.786   3.906 -5.019   4.878 -5.253   5.851 -5.486   6.823 -5.719   7.795 -5.953   8.768 -6.186
   1.967 -4.527   2.940 -4.760   3.913 -4.992   4.885 -5.224   5.858 -5.456   6.831 -5.688   7.803 -5.920   8.776 -6.153
   1.973 -4.503   2.946 -4.733   3.919 -4.964   4.892 -5.195   5.865 -5.426   6.838 -5.657   7.811 -5.888   8.784 -6.119
   1.979 -4.478   2.952 -4.707   3.926 -4.937   4.899 -5.167   5.872 -5.396   6.845 -5.626   7.819 -5.855   8.792 -6.085
   1.985 -4.453   2.958 -4.681   3.932 -4.910   4.906 -5.138   5.879 -5.366   6.853 -5.595   7.826 -5.823   8.800 -6.051
   1.991 -4.428   2.964 -4.655   3.938 -4.882   4.912 -5.109   5.886 -5.336   6.860 -5.563   7.834 -5.790   8.808 -6.018
   1.996 -4.403   2.971 -4.629   3.945 -4.855   4.919 -5.081   5.893 -5.306   6.867 -5.532   7.841 -5.758   8.816 -5.984
   2.002 -4.378   2.977 -4.603   3.951 -4.827   4.926 -5.052   5.900 -5.276   6.874 -5.501   7.849 -5.725   8.823 -5.950
   2.008 -4.353   2.983 -4.577   3.957 -4.800   4.932 -5.023   5.907 -5.246   6.882 -5.470   7.856 -5.693   8.831 -5.916
   2.014 -4.328   2.989 -4.550   3.964 -4.772   4.939 -4.994   5.914 -5.216   6.889 -5.438   7.864 -5.660   8.839 -5.882
   2.019 -4.304   2.995 -4.524   3.970 -4.745   4.945 -4.966   5.921 -5.186   6.896 -5.407   7.871 -5.628   8.847 -5.848
   2.025 -4.279   3.000 -4.498   3.976 -4.718   4.952 -4.937   5.927 -5.156   6.903 -5.376   7.879 -5.595   8.854 -5.815
   2.030 -4.254   3.006 -4.472   3.982 -4.690   4.958 -4.908   5.934 -5.126   6.910 -5.345   7.886 -5.563   8.862 -5.781
   2.036 -4.229   3.012 -4.446   3.988 -4.663   4.965 -4.879   5.941 -5.096   6.917 -5.313   7.893 -5.530   8.869 -5.747
   2.041 -4.204   3.018 -4.420   3.994 -4.635   4.971 -4.851   5.947 -5.066   6.924 -5.282   7.900 -5.497   8.877 -5.713
   2.047 -4.179   3.024 -4.393   4.000 -4.608   4.977 -4.822   5.954 -5.036   6.931 -5.251   7.908 -5.465   8.884 -5.679
   2.052 -4.154   3.029 -4.367   4.006 -4.580   4.984 -4.793   5.961 -5.006   6.938 -5.219   7.915 -5.432   8.892 -5.645
   2.058 -4.129   3.035 -4.341   4.012 -4.553   4.990 -4.764   5.967 -4.976   6.944 -5.188   7.922 -5.400   8.899 -5.611
   2.063 -4.104   3.041 -4.315   4.018 -4.525   4.996 -4.736   5.974 -4.946   6.951 -5.157   7.929 -5.367   8.906 -5.578
   2.069 -4.079   3.046 -4.288   4.024 -4.498   5.002 -4.707   5.980 -4.916   6.958 -5.125   7.936 -5.334   8.914 -5.544
   2.074 -4.054   3.052 -4.262   4.030 -4.470   5.008 -4.678   5.986 -4.886   6.965 -5.094   7.943 -5.302   8.921 -5.510
   2.079 -4.029   3.058 -4.236   4.036 -4.443   5.014 -4.649   5.993 -4.856   6.971 -5.062   7.950 -5.269   8.928 -5.476
   2.084 -4.004   3.063 -4.210   4.042 -4.415   5.020 -4.620   5.999 -4.826   6.978 -5.031   7.957 -5.236   8.935 -5.442
   2.090 -3.979   3.069 -4.183   4.048 -4.387   5.027 -4.592   6.005 -4.796   6.984 -5.000   7.963 -5.204   8.942 -5.408
   2.095 -3.954   3.074 -4.157   4.053 -4.360   5.033 -4.563   6.012 -4.766   6.991 -4.968   7.970 -5.171   8.949 -5.374
   2.100 -3.929   3.079 -4.131   4.059 -4.332   5.038 -4.534   6.018 -4.735   6.997 -4.937   7.977 -5.138   8.956 -5.340
   2.105 -3.904   3.085 -4.105   4.065 -4.305   5.044 -4.505   6.024 -4.705   7.004 -4.905   7.984 -5.106   8.963 -5.306
   2.110 -3.879   3.090 -4.078   4.070 -4.277   5.050 -4.476   6.030 -4.675   7.010 -4.874   7.990 -5.073   8.970 -5.272
   2.115 -3.854   3.096 -4.052   4.076 -4.250   5.056 -4.447   6.036 -4.645   7.017 -4.843   7.997 -5.040   8.977 -5.238
   2.120 -3.829   3.101 -4.026   4.081 -4.222   5.062 -4.418   6.042 -4.615   7.023 -4.811   8.003 -5.008   8.984 -5.204
   2.125 -3.804   3.106 -3.999   4.087 -4.194   5.068 -4.390   6.048 -4.585   7.029 -4.780   8.010 -4.975   8.991 -5.170
   2.130 -3.779   3.111 -3.973   4.092 -4.167   5.073 -4.361   6.054 -4.554   7.035 -4.748   8.017 -4.942   8.998 -5.136
   2.135 -3.754   3.116 -3.947   4.098 -4.139   5.079 -4.332   6.060 -4.524   7.042 -4.717   8.023 -4.909   9.004 -5.102
   2.140 -3.729   3.122 -3.920   4.103 -4.112   5.085 -4.303   6.066 -4.494   7.048 -4.685   8.029 -4.877   9.011 -5.068
   2.145 -3.704   3.127 -3.894   4.109 -4.084   5.090 -4.274   6.072 -4.464   7.054 -4.654   8.036 -4.844   9.018 -5.034
   2.150 -3.679   3.132 -3.868   4.114 -4.056   5.096 -4.245   6.078 -4.434   7.060 -4.622   8.042 -4.811   9.024 -5.000
   2.155 -3.654   3.137 -3.841   4.119 -4.029   5.101 -4.216   6.084 -4.403   7.066 -4.591   8.048 -4.778   9.031 -4.966
   2.159 -3.629   3.142 -3.815   4.124 -4.001   5.107 -4.187   6.089 -4.373   7.072 -4.559   8.055 -4.745   9.037 -4.932
   2.164 -3.604   3.147 -3.789   4.130 -3.973   5.112 -4.158   6.095 -4.343   7.078 -4.528   8.061 -4.713   9.044 -4.897
   2.169 -3.579   3.152 -3.762   4.135 -3.946   5.118 -4.129   6.101 -4.313   7.084 -4.496   8.067 -4.680   9.050 -4.863
   2.173 -3.554   3.157 -3.736   4.140 -3.918   5.123 -4.100   6.106 -4.283   7.090 -4.465   8.073 -4.647   9.056 -4.829
   2.178 -3.528   3.162 -3.709   4.145 -3.890   5.129 -4.071   6.112 -4.252   7.096 -4.433   8.079 -4.614   9.063 -4.795
   2.183 -3.503   3.166 -3.683   4.150 -3.863   5.134 -4.042   6.118 -4.222   7.101 -4.402   8.085 -4.581   9.069 -4.761
   2.187 -3.478   3.171 -3.657   4.155 -3.835   5.139 -4.013   6.123 -4.192   7.107 -4.370   8.091 -4.549   9.075 -4.727
   2.192 -3.453   3.176 -3.630   4.160 -3.807   5.144 -3.984   6.129 -4.161   7.113 -4.339   8.097 -4.516   9.081 -4.693
   2.196 -3.428   3.181 -3.604   4.165 -3.780   5.150 -3.955   6.134 -4.131   7.118 -4.307   8.103 -4.483   9.087 -4.659
   2.201 -3.403   3.185 -3.577   4.170 -3.752   5.155 -3.926   6.139 -4.101   7.124 -4.275   8.109 -4.450   9.093 -4.624
   2.205 -3.378   3.190 -3.551   4.175 -3.724   5.160 -3.897   6.145 -4.071   7.130 -4.244   8.115 -4.417   9.099 -4.590
   2.210 -3.353   3.195 -3.525   4.180 -3.696   5.165 -3.868   6.150 -4.040   7.135 -4.212   8.120 -4.384   9.105 -4.556
   2.214 -3.327   3.199 -3.498   4.185 -3.669   5.170 -3.839   6.155 -4.010   7.141 -4.181   8.126 -4.351   9.111 -4.522
   2.218 -3.302   3.204 -3.472   4.189 -3.641   5.175 -3.810   6.161 -3.980   7.146 -4.149   8.132 -4.318   9.117 -4.488
   2.223 -3.277   3.208 -3.445   4.194 -3.613   5.180 -3.781   6.166 -3.949   7.152 -4.117   8.137 -4.286   9.123 -4.454
