  10.200 -1.000  10.200 -2.000  10.200 -3.000  10.200 -4.000  10.200 -5.000
  10.208 -1.000  10.216 -2.000  10.224 -3.000  10.231 -4.000  10.239 -5.000
  10.216 -1.000  10.231 -2.000  10.247 -3.000  10.263 -4.000  10.279 -4.999
  10.224 -1.000  10.247 -1.999  10.271 -2.999  10.294 -3.999  10.318 -4.999
  10.231 -1.000  10.263 -1.999  10.294 -2.999  10.326 -3.998  10.357 -4.998
  10.239 -0.999  10.279 -1.998  10.318 -2.998  10.357 -3.997  10.396 -4.996
  10.247 -0.999  10.294 -1.998  10.341 -2.997  10.388 -3.996  10.436 -4.994
  10.255 -0.998  10.310 -1.997  10.365 -2.995  10.420 -3.994  10.475 -4.992
  10.263 -0.998  10.326 -1.996  10.388 -2.994  10.451 -3.992  10.514 -4.990
  10.271 -0.998  10.341 -1.995  10.412 -2.993  10.483 -3.990  10.553 -4.988
  10.278 -0.997  10.357 -1.994  10.435 -2.991  10.514 -3.988  10.592 -4.985
  10.286 -0.996  10.373 -1.993  10.459 -2.989  10.545 -3.985  10.631 -4.981
  10.294 -0.996  10.388 -1.991  10.482 -2.987  10.576 -3.982  10.671 -4.978
  10.302 -0.995  10.404 -1.990  10.506 -2.984  10.608 -3.979  10.710 -4.974
  10.310 -0.994  10.419 -1.988  10.529 -2.982  10.639 -3.976  10.749 -4.970
  10.318 -0.993  10.435 -1.986  10.553 -2.979  10.670 -3.972  10.788 -4.965
  10.325 -0.992  10.451 -1.984  10.576 -2.976  10.701 -3.968  10.827 -4.961
  10.333 -0.991  10.466 -1.982  10.599 -2.973  10.732 -3.964  10.866 -4.955
  10.341 -0.990  10.482 -1.980  10.623 -2.970  10.764 -3.960  10.905 -4.950
  10.349 -0.989  10.497 -1.978  10.646 -2.967  10.795 -3.956  10.943 -4.944
  10.356 -0.988  10.513 -1.975  10.669 -2.963  10.826 -3.951  10.982 -4.938
  10.364 -0.986  10.528 -1.973  10.693 -2.959  10.857 -3.946  11.021 -4.932
  10.372 -0.985  10.544 -1.970  10.716 -2.955  10.888 -3.940  11.060 -4.926
  10.380 -0.984  10.559 -1.967  10.739 -2.951  10.919 -3.935  11.098 -4.919
  10.387 -0.982  10.575 -1.965  10.762 -2.947  10.950 -3.929  11.137 -4.911
  10.395 -0.981  10.590 -1.962  10.785 -2.942  10.980 -3.923  11.175 -4.904
  10.403 -0.979  10.606 -1.958  10.808 -2.938  11.011 -3.917  11.214 -4.896
  10.410 -0.978  10.621 -1.955  10.831 -2.933  11.042 -3.910  11.252 -4.888
  10.418 -0.976  10.636 -1.952  10.854 -2.928  11.073 -3.904  11.291 -4.880
  10.426 -0.974  10.652 -1.948  10.877 -2.923  11.103 -3.897  11.329 -4.871
  10.433 -0.972  10.667 -1.945  10.900 -2.917  11.134 -3.889  11.367 -4.862
  10.441 -0.971  10.682 -1.941  10.923 -2.912  11.164 -3.882  11.405 -4.853
  10.449 -0.969  10.697 -1.937  10.946 -2.906  11.195 -3.874  11.443 -4.843
  10.456 -0.967  10.713 -1.933  10.969 -2.900  11.225 -3.866  11.481 -4.833
  10.464 -0.965  10.728 -1.929  10.992 -2.894  11.255 -3.858  11.519 -4.823
  10.471 -0.962  10.743 -1.925  11.014 -2.887  11.286 -3.850  11.557 -4.812
  10.479 -0.960  10.758 -1.921  11.037 -2.881  11.316 -3.841  11.595 -4.801
  10.487 -0.958  10.773 -1.916  11.060 -2.874  11.346 -3.832  11.633 -4.790
  10.494 -0.956  10.788 -1.912  11.082 -2.867  11.376 -3.823  11.670 -4.779
  10.502 -0.953  10.803 -1.907  11.105 -2.860  11.406 -3.814  11.708 -4.767
  10.509 -0.951  10.818 -1.902  11.127 -2.853  11.436 -3.804  11.745 -4.755
  10.516 -0.949  10.833 -1.897  11.149 -2.846  11.466 -3.794  11.782 -4.743
  10.524 -0.946  10.848 -1.892  11.172 -2.838  11.496 -3.784  11.820 -4.730
  10.531 -0.944  10.863 -1.887  11.194 -2.831  11.525 -3.774  11.857 -4.718
  10.539 -0.941  10.877 -1.882  11.216 -2.823  11.555 -3.764  11.894 -4.704
  10.546 -0.938  10.892 -1.876  11.238 -2.815  11.584 -3.753  11.931 -4.691
  10.553 -0.935  10.907 -1.871  11.260 -2.806  11.614 -3.742  11.967 -4.677
  10.561 -0.933  10.922 -1.865  11.282 -2.798  11.643 -3.731  12.004 -4.663
  10.568 -0.930  10.936 -1.860  11.304 -2.789  11.672 -3.719  12.041 -4.649
  10.575 -0.927  10.951 -1.854  11.326 -2.781  11.702 -3.707  12.077 -4.634
  10.583 -0.924  10.965 -1.848  11.348 -2.772  11.731 -3.696  12.113 -4.619
  10.590 -0.921  10.980 -1.842  11.370 -2.763  11.760 -3.683  12.150 -4.604
  10.597 -0.918  10.994 -1.836  11.391 -2.753  11.789 -3.671  12.186 -4.589
  10.604 -0.915  11.009 -1.829  11.413 -2.744  11.817 -3.658  12.222 -4.573
  10.612 -0.911  11.023 -1.823  11.435 -2.734  11.846 -3.646  12.258 -4.557
  10.619 -0.908  11.037 -1.816  11.456 -2.724  11.875 -3.633  12.293 -4.541
  10.626 -0.905  11.052 -1.810  11.477 -2.714  11.903 -3.619  12.329 -4.524
  10.633 -0.901  11.066 -1.803  11.499 -2.704  11.931 -3.606  12.364 -4.507
  10.640 -0.898  11.080 -1.796  11.520 -2.694  11.960 -3.592  12.400 -4.490
  10.647 -0.895  11.094 -1.789  11.541 -2.684  11.988 -3.578  12.435 -4.473
  10.654 -0.891  11.108 -1.782  11.562 -2.673  12.016 -3.564  12.470 -4.455
  10.661 -0.887  11.122 -1.775  11.583 -2.662  12.044 -3.550  12.505 -4.437
  10.668 -0.884  11.136 -1.768  11.604 -2.651  12.072 -3.535  12.540 -4.419
  10.675 -0.880  11.150 -1.760  11.625 -2.640  12.099 -3.520  12.574 -4.400
  10.682 -0.876  11.164 -1.753  11.645 -2.629  12.127 -3.505  12.609 -4.382
  10.689 -0.872  11.177 -1.745  11.666 -2.617  12.154 -3.490  12.643 -4.362
  10.695 -0.869  11.191 -1.737  11.686 -2.606  12.182 -3.475  12.677 -4.343
  10.702 -0.865  11.205 -1.729  11.707 -2.594  12.209 -3.459  12.711 -4.324
  10.709 -0.861  11.218 -1.721  11.727 -2.582  12.236 -3.443  12.745 -4.304
  10.716 -0.857  11.232 -1.713  11.747 -2.570  12.263 -3.427  12.779 -4.284
  10.722 -0.853  11.245 -1.705  11.767 -2.558  12.290 -3.411  12.812 -4.263
  10.729 -0.849  11.258 -1.697  11.788 -2.546  12.317 -3.394  12.846 -4.243
  10.736 -0.844  11.272 -1.689  11.807 -2.533  12.343 -3.377  12.879 -4.222
  10.742 -0.840  11.285 -1.680  11.827 -2.520  12.370 -3.360  12.912 -4.200
  10.749 -0.836  11.298 -1.672  11.847 -2.507  12.396 -3.343  12.945 -4.179
  10.756 -0.831  11.311 -1.663  11.867 -2.494  12.422 -3.326  12.978 -4.157
  10.762 -0.827  11.324 -1.654  11.886 -2.481  12.448 -3.308  13.010 -4.135
  10.769 -0.823  11.337 -1.645  11.906 -2.468  12.474 -3.291  13.043 -4.113
  10.775 -0.818  11.350 -1.636  11.925 -2.454  12.500 -3.273  13.075 -4.091
  10.781 -0.814  11.363 -1.627  11.944 -2.441  12.526 -3.254  13.107 -4.068
  10.788 -0.809  11.376 -1.618  11.963 -2.427  12.551 -3.236  13.139 -4.045
  10.794 -0.804  11.388 -1.609  11.982 -2.413  12.576 -3.218  13.171 -4.022
  10.800 -0.800  11.401 -1.599  12.001 -2.399  12.602 -3.199  13.202 -3.998
  10.807 -0.795  11.413 -1.590  12.020 -2.385  12.627 -3.180  13.233 -3.975
  10.813 -0.790  11.426 -1.580  12.039 -2.370  12.652 -3.161  13.265 -3.951
  10.819 -0.785  11.438 -1.571  12.057 -2.356  12.676 -3.141  13.295 -3.927
  10.825 -0.780  11.450 -1.561  12.076 -2.341  12.701 -3.122  13.326 -3.902
  10.831 -0.775  11.463 -1.551  12.094 -2.326  12.725 -3.102  13.357 -3.877
  10.837 -0.771  11.475 -1.541  12.112 -2.312  12.750 -3.082  13.387 -3.853
  10.843 -0.765  11.487 -1.531  12.130 -2.296  12.774 -3.062  13.417 -3.827
  10.849 -0.760  11.499 -1.521  12.148 -2.281  12.798 -3.042  13.447 -3.802
  10.855 -0.755  11.511 -1.511  12.166 -2.266  12.822 -3.021  13.477 -3.776
  10.861 -0.750  11.523 -1.500  12.184 -2.250  12.845 -3.000  13.507 -3.751
  10.867 -0.745  11.534 -1.490  12.202 -2.235  12.869 -2.980  13.536 -3.724
  10.873 -0.740  11.546 -1.479  12.219 -2.219  12.892 -2.959  13.565 -3.698
  10.879 -0.734  11.558 -1.469  12.236 -2.203  12.915 -2.937  13.594 -3.672
  10.885 -0.729  11.569 -1.458  12.254 -2.187  12.938 -2.916  13.623 -3.645
  10.890 -0.724  11.581 -1.447  12.271 -2.171  12.961 -2.894  13.651 -3.618
  10.896 -0.718  11.592 -1.436  12.288 -2.154  12.984 -2.873  13.680 -3.591
  10.902 -0.713  11.603 -1.425  12.305 -2.138  13.006 -2.851  13.708 -3.563
  10.907 -0.707  11.614 -1.414  12.321 -2.121  13.028 -2.828  13.736 -3.536
  10.913 -0.702  11.625 -1.403  12.338 -2.105  13.051 -2.806  13.763 -3.508
  10.918 -0.696  11.636 -1.392  12.354 -2.088  13.073 -2.784  13.791 -3.480
  10.924 -0.690  11.647 -1.381  12.371 -2.071  13.094 -2.761  13.818 -3.451
  10.929 -0.685  11.658 -1.369  12.387 -2.054  13.116 -2.738  13.845 -3.423
  10.934 -0.679  11.669 -1.358  12.403 -2.036  13.137 -2.715  13.872 -3.394
  10.940 -0.673  11.679 -1.346  12.419 -2.019  13.159 -2.692  13.898 -3.365
  10.945 -0.667  11.690 -1.334  12.435 -2.002  13.180 -2.669  13.924 -3.336
  10.950 -0.661  11.700 -1.323  12.450 -1.984  13.200 -2.645  13.951 -3.307
  10.955 -0.655  11.711 -1.311  12.466 -1.966  13.221 -2.622  13.976 -3.277
  10.960 -0.649  11.721 -1.299  12.481 -1.948  13.242 -2.598  14.002 -3.247
  10.965 -0.643  11.731 -1.287  12.496 -1.930  13.262 -2.574  14.027 -3.217
  10.971 -0.637  11.741 -1.275  12.512 -1.912  13.282 -2.550  14.053 -3.187
  10.975 -0.631  11.751 -1.263  12.526 -1.894  13.302 -2.525  14.077 -3.157
  10.980 -0.625  11.761 -1.250  12.541 -1.876  13.322 -2.501  14.102 -3.126
  10.985 -0.619  11.771 -1.238  12.556 -1.857  13.341 -2.476  14.127 -3.095
  10.990 -0.613  11.780 -1.226  12.570 -1.839  13.361 -2.452  14.151 -3.065
  10.995 -0.607  11.790 -1.213  12.585 -1.820  13.380 -2.427  14.175 -3.033
  11.000 -0.600  11.799 -1.201  12.599 -1.801  13.399 -2.402  14.198 -3.002
  11.004 -0.594  11.809 -1.188  12.613 -1.782  13.418 -2.376  14.222 -2.971
  11.009 -0.588  11.818 -1.176  12.627 -1.763  13.436 -2.351  14.245 -2.939
  11.014 -0.581  11.827 -1.163  12.641 -1.744  13.454 -2.326  14.268 -2.907
  11.018 -0.575  11.836 -1.150  12.654 -1.725  13.473 -2.300  14.291 -2.875
  11.023 -0.569  11.845 -1.137  12.668 -1.706  13.491 -2.274  14.313 -2.843
  11.027 -0.562  11.854 -1.124  12.681 -1.686  13.508 -2.248  14.335 -2.810
  11.031 -0.556  11.863 -1.111  12.694 -1.667  13.526 -2.222  14.357 -2.778
  11.036 -0.549  11.872 -1.098  12.707 -1.647  13.543 -2.196  14.379 -2.745
  11.040 -0.542  11.880 -1.085  12.720 -1.627  13.560 -2.170  14.400 -2.712
  11.044 -0.536  11.889 -1.072  12.733 -1.607  13.577 -2.143  14.422 -2.679
  11.049 -0.529  11.897 -1.058  12.746 -1.588  13.594 -2.117  14.443 -2.646
  11.053 -0.522  11.905 -1.045  12.758 -1.567  13.611 -2.090  14.463 -2.612
  11.057 -0.516  11.913 -1.032  12.770 -1.547  13.627 -2.063  14.484 -2.579
  11.061 -0.509  11.921 -1.018  12.782 -1.527  13.643 -2.036  14.504 -2.545
  11.065 -0.502  11.929 -1.005  12.794 -1.507  13.659 -2.009  14.524 -2.511
  11.069 -0.495  11.937 -0.991  12.806 -1.486  13.675 -1.982  14.543 -2.477
  11.072 -0.489  11.945 -0.977  12.817 -1.466  13.690 -1.954  14.562 -2.443
  11.076 -0.482  11.953 -0.964  12.829 -1.445  13.705 -1.927  14.582 -2.409
  11.080 -0.475  11.960 -0.950  12.840 -1.425  13.720 -1.899  14.600 -2.374
  11.084 -0.468  11.968 -0.936  12.851 -1.404  13.735 -1.872  14.619 -2.340
  11.087 -0.461  11.975 -0.922  12.862 -1.383  13.750 -1.844  14.637 -2.305
  11.091 -0.454  11.982 -0.908  12.873 -1.362  13.764 -1.816  14.655 -2.270
  11.095 -0.447  11.989 -0.894  12.884 -1.341  13.778 -1.788  14.673 -2.235
  11.098 -0.440  11.996 -0.880  12.894 -1.320  13.792 -1.760  14.690 -2.200
  11.101 -0.433  12.003 -0.866  12.904 -1.299  13.806 -1.731  14.707 -2.164
  11.105 -0.426  12.010 -0.852  12.914 -1.277  13.819 -1.703  14.724 -2.129
  11.108 -0.419  12.016 -0.837  12.924 -1.256  13.833 -1.675  14.741 -2.093
  11.111 -0.412  12.023 -0.823  12.934 -1.235  13.846 -1.646  14.757 -2.058
  11.115 -0.404  12.029 -0.809  12.944 -1.213  13.858 -1.617  14.773 -2.022
  11.118 -0.397  12.036 -0.794  12.953 -1.191  13.871 -1.589  14.789 -1.986
  11.121 -0.390  12.042 -0.780  12.963 -1.170  13.883 -1.560  14.804 -1.950
  11.124 -0.383  12.048 -0.765  12.972 -1.148  13.896 -1.531  14.819 -1.913
  11.127 -0.375  12.054 -0.751  12.981 -1.126  13.907 -1.502  14.834 -1.877
  11.130 -0.368  12.060 -0.736  12.989 -1.104  13.919 -1.472  14.849 -1.841
  11.133 -0.361  12.065 -0.722  12.998 -1.082  13.931 -1.443  14.863 -1.804
  11.135 -0.353  12.071 -0.707  13.006 -1.060  13.942 -1.414  14.877 -1.767
  11.138 -0.346  12.076 -0.692  13.015 -1.038  13.953 -1.384  14.891 -1.731
  11.141 -0.339  12.082 -0.677  13.023 -1.016  13.964 -1.355  14.904 -1.694
  11.144 -0.331  12.087 -0.663  13.031 -0.994  13.974 -1.325  14.918 -1.657
  11.146 -0.324  12.092 -0.648  13.038 -0.972  13.984 -1.296  14.930 -1.620
  11.149 -0.316  12.097 -0.633  13.046 -0.949  13.994 -1.266  14.943 -1.582
  11.151 -0.309  12.102 -0.618  13.053 -0.927  14.004 -1.236  14.955 -1.545
  11.153 -0.302  12.107 -0.603  13.060 -0.905  14.014 -1.206  14.967 -1.508
  11.156 -0.294  12.112 -0.588  13.067 -0.882  14.023 -1.176  14.979 -1.470
  11.158 -0.287  12.116 -0.573  13.074 -0.860  14.032 -1.146  14.990 -1.433
  11.160 -0.279  12.121 -0.558  13.081 -0.837  14.041 -1.116  15.001 -1.395
  11.162 -0.271  12.125 -0.543  13.087 -0.814  14.050 -1.086  15.012 -1.357
  11.165 -0.264  12.129 -0.528  13.094 -0.792  14.058 -1.055  15.023 -1.319
  11.167 -0.256  12.133 -0.513  13.100 -0.769  14.066 -1.025  15.033 -1.281
